Class,CSORD_SumCyclomaticStrict,CSLEX_NumberOfConditionalJumpStatements,CSORD_LogCyclomaticStrict,CSORD_CSNOMNAMM,CSORD_NIM,CSORD_LogStmtDecl,CSORD_CountDeclMethodPrivate,CSORD_CountDeclClassMethod,CSORD_NumberOfClassConstructors,CSORD_MinLineCode,CSORD_SumCyclomatic,CSLEX_NumberOfReturnAndPrintStatements,CSORD_MaxInheritanceTree,CSLEX_NumberOfIdentifies,CSORD_CountDeclMethodPublic,Label_Combine1,Label_LineCoverage,Label_BranchCoverage,Coverageability1,Tests
com.sap.engine.services.dc.wsgate.DeployFault,27,7,1.4471580313422192,3,12,1.2041199826559248,0,3,2,2,19,12,2,275,12,91.85,95.6,88.1,66.5905570725346,22.6
com.sap.engine.services.dc.wsgate.DeployLocal,36,11,1.568201724066995,2,12,1.3617278360175928,0,3,2,2,26,14,1,367,15,92.2,96.7,87.7,56.07446128249306,34.4
com.sap.engine.services.dc.wsgate.DeployLocalResponse,19,6,1.3010299956639813,2,12,1.1139433523068367,0,3,2,2,15,11,1,208,9,88.55,94.3,82.8,74.06210620883732,13.0
com.sap.engine.services.dc.wsgate.DeployResponse,19,6,1.3010299956639813,2,12,1.1139433523068367,0,3,2,2,15,11,1,208,9,88.55,94.3,82.8,74.06210620883732,13.0
com.sap.engine.services.dc.wsgate.DeployResult,38,10,1.5910646070264989,2,12,1.3222192947339193,0,3,2,2,25,14,1,383,15,93.45,96.7,90.2,58.727131377493805,32.2
com.sap.engine.services.dc.wsgate.DeployWSPortTypeBindingStub,71,44,1.8573324964312683,7,12,1.724275869600789,1,1,3,3,71,15,2,2929,10,54.45,60.5,48.4,40.66899646314457,20.6
com.sap.engine.services.dc.wsgate.DeployWSPortTypeProxy,25,11,1.414973347970818,6,12,1.146128035678238,1,0,2,3,25,9,1,329,12,14.65,21.3,8.0,14.433497536945817,2.0
com.sap.engine.services.dc.wsgate.DeployWSServiceLocator,24,6,1.3979400086720375,0,12,1.3222192947339193,0,0,3,2,24,11,2,318,15,88.94999999999996,86.6,91.3,63.91456161686547,23.2
com.sap.engine.services.dc.wsgate.GetVersion,11,5,1.0791812460476249,1,12,1.0,0,3,1,2,11,10,1,125,6,76.9,91.3,62.5,70.74838055267944,6.6
com.sap.engine.services.dc.wsgate.GetVersionResponse,19,6,1.3010299956639813,0,12,1.1139433523068367,0,3,2,2,15,11,1,192,9,88.55,94.3,82.8,72.96759232397766,14.0
com.sap.engine.services.dc.wsgate.Option,26,7,1.4313637641589874,2,12,1.1760912590556811,0,3,2,2,18,12,1,253,11,96.4,97.7,95.1,74.1779266731283,18.6
com.sap.engine.services.dc.wsgate.Start,36,11,1.568201724066995,2,12,1.3617278360175928,0,3,2,2,26,14,1,391,15,92.2,96.7,87.7,56.241684315792,34.2
com.sap.engine.services.dc.wsgate.Stop,36,11,1.568201724066995,2,12,1.3617278360175928,0,3,2,2,26,14,1,391,15,92.2,96.7,87.7,55.9077354523488,34.6
com.sap.engine.services.dc.wsgate.Undeploy,36,11,1.568201724066995,2,12,1.3617278360175928,0,3,2,2,26,14,1,391,15,92.2,96.7,87.7,56.241684315792,34.2
com.sap.engine.services.dc.wsgate.UndeployResponse,19,6,1.3010299956639813,2,12,1.1139433523068367,0,3,2,2,15,11,1,208,9,88.55,94.3,82.8,73.84189783130707,13.2
com.sap.managementconsole.soap.axis.sapcontrol.AccessPoint,43,9,1.6434526764861874,2,12,1.3222192947339193,0,3,2,2,26,15,1,415,17,94.85,96.9,92.8,57.00312831767384,35.2
com.sap.managementconsole.soap.axis.sapcontrol.Alert,61,12,1.792391689498254,2,12,1.3979400086720375,0,3,2,2,33,17,1,572,21,95.95,97.6,94.3,48.95306283660351,46.2
com.sap.managementconsole.soap.axis.sapcontrol.AlertNode,85,15,1.934498451243568,2,12,1.5185139398778875,0,3,2,2,44,21,1,823,29,95.35,98.2,92.5,37.43288018171637,63.8
com.sap.managementconsole.soap.axis.sapcontrol.DirEntry,29,7,1.4771212547196624,2,12,1.230448921378274,0,3,2,2,20,13,1,295,13,92.4,95.9,88.9,65.41235590258958,24.2
com.sap.managementconsole.soap.axis.sapcontrol.EnqLock,85,15,1.934498451243568,3,12,1.5440680443502757,0,3,2,2,46,22,1,805,31,96.05,98.3,93.8,36.38408139306027,66.2
com.sap.managementconsole.soap.axis.sapcontrol.GCInfo,70,9,1.8512583487190752,2,12,1.5910646070264989,0,3,2,2,44,24,1,789,35,96.75,98.3,95.2,34.94408586502341,69.4
com.sap.managementconsole.soap.axis.sapcontrol.GCInfo2,80,10,1.9084850188786493,2,12,1.6334684555795864,0,3,2,2,49,26,1,906,39,95.95,98.5,93.4,30.85549796227643,77.2
com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,48,8,1.6901960800285136,2,12,1.4313637641589874,0,3,2,2,31,18,1,538,23,95.2,97.5,92.9,47.286041895011486,48.0
com.sap.managementconsole.soap.axis.sapcontrol.ICMCacheEntry,64,12,1.812913356642856,3,12,1.462397997898956,0,3,2,2,37,19,1,624,25,96.2,97.8,94.6,42.543768498026765,55.8
com.sap.managementconsole.soap.axis.sapcontrol.ICMConnection,76,12,1.8864907251724816,2,12,1.5440680443502757,0,3,2,2,43,22,1,758,31,96.1,98.2,94.0,36.51158121716614,66.0
com.sap.managementconsole.soap.axis.sapcontrol.ICMProxyConnection,115,18,2.0644579892269186,2,12,1.6532125137753435,0,3,2,2,59,27,1,1084,41,94.75,98.6,90.9,24.082597748364847,93.0
com.sap.managementconsole.soap.axis.sapcontrol.ICMThread,43,9,1.6434526764861874,2,12,1.3222192947339193,0,3,2,2,26,15,1,417,17,94.85,96.9,92.8,57.17312078495389,35.0
com.sap.managementconsole.soap.axis.sapcontrol.InstanceProperty,33,8,1.5314789170422551,2,12,1.230448921378274,0,3,2,2,21,13,1,314,13,93.35,96.1,90.6,65.108261611613,25.2
com.sap.managementconsole.soap.axis.sapcontrol.InstanceVersionInfo,33,8,1.5314789170422551,2,12,1.230448921378274,0,3,2,2,21,13,1,314,13,93.35,96.1,90.6,65.49716718594972,24.8
com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,43,9,1.6434526764861874,2,12,1.3222192947339193,0,3,2,2,26,15,1,415,17,94.85,96.9,92.8,57.17312078495389,35.0
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache,86,10,1.9395192526186185,2,12,1.6720978579357175,0,3,2,2,53,28,1,976,43,96.35,98.6,94.1,27.751763573820323,84.6
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache2,93,11,1.9731278535996983,2,12,1.6901960800285136,0,3,2,2,56,29,1,1037,45,95.6,98.4,92.8,25.18259649405036,90.6
com.sap.managementconsole.soap.axis.sapcontrol.J2EEClusterMsg,53,7,1.7323937598229686,2,12,1.5185139398778875,0,3,2,2,36,21,1,631,29,95.7,97.9,93.5,41.2034846355888,57.6
com.sap.managementconsole.soap.axis.sapcontrol.J2EEEJBSession,97,15,1.9912260756924949,2,12,1.6127838567197357,0,3,2,2,52,25,1,941,37,95.75,98.5,93.0,27.252403896076785,85.4
com.sap.managementconsole.soap.axis.sapcontrol.J2EEPSTATE,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,225,10,99.25,100.0,98.5,76.5986966949869,18.4
com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess,94,15,1.9777236052888485,2,12,1.5910646070264989,0,3,2,2,50,24,1,915,35,95.1,98.2,92.0,29.59666689353029,79.4
com.sap.managementconsole.soap.axis.sapcontrol.J2EEProcess2,97,15,1.9912260756924949,2,12,1.6127838567197357,0,3,2,2,52,25,1,955,37,95.7,98.5,92.9,28.823647139236726,81.6
com.sap.managementconsole.soap.axis.sapcontrol.J2EERemoteObject,66,11,1.8260748027008264,2,12,1.4913616938342726,0,3,2,2,38,20,1,657,27,95.95,98.0,93.9,40.45894263527492,59.0
com.sap.managementconsole.soap.axis.sapcontrol.J2EESession,66,11,1.8260748027008264,2,12,1.4913616938342726,0,3,2,2,38,20,1,657,27,95.45,97.8,93.1,38.83532829995774,61.4
com.sap.managementconsole.soap.axis.sapcontrol.J2EESharedTableInfo,35,7,1.5563025007672873,2,12,1.3222192947339193,0,3,2,2,24,15,1,387,17,93.65,96.7,90.6,57.29653877631623,34.0
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread,103,18,2.0170333392987803,2,12,1.568201724066995,0,3,2,2,51,23,1,938,33,94.6,98.2,91.0,31.716381660156603,74.4
com.sap.managementconsole.soap.axis.sapcontrol.J2EEThread2,106,18,2.0293837776852097,2,12,1.5910646070264989,0,3,2,2,53,24,1,978,35,94.75,98.4,91.1,30.10883595334401,78.0
com.sap.managementconsole.soap.axis.sapcontrol.J2EEWebSession,66,11,1.8260748027008264,2,12,1.4913616938342726,0,3,2,2,38,20,1,657,27,96.25,98.0,94.5,38.6971474706493,62.2
com.sap.managementconsole.soap.axis.sapcontrol.LogFile,36,8,1.568201724066995,2,12,1.2787536009528289,0,3,2,2,23,14,1,356,15,93.85,96.5,91.2,60.94232960742498,30.0
com.sap.managementconsole.soap.axis.sapcontrol.OSProcess,57,11,1.7634279935629371,2,12,1.3979400086720375,0,3,2,2,32,17,1,551,21,95.5,97.5,93.5,50.04689496912871,44.4
com.sap.managementconsole.soap.axis.sapcontrol.ParameterRestriction,57,13,1.7634279935629371,2,12,1.3979400086720375,0,3,2,2,32,16,1,544,19,95.6,97.5,93.7,46.229056564530914,49.8
com.sap.managementconsole.soap.axis.sapcontrol.ProfileParameter,91,21,1.963787827345556,2,12,1.568201724066995,0,3,2,2,48,20,1,870,27,94.0,97.9,90.1,38.47382087166657,61.0
com.sap.managementconsole.soap.axis.sapcontrol.RESTRICTIONTYPE,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,225,10,100.0,100.0,100.0,78.80310393200115,17.0
com.sap.managementconsole.soap.axis.sapcontrol.SAPControl_ServiceLocator,24,6,1.3979400086720375,0,12,1.3222192947339193,0,0,3,2,24,11,2,318,15,92.7,89.7,95.7,63.51002168331239,26.4
com.sap.managementconsole.soap.axis.sapcontrol.SAPInstance,49,9,1.6989700043360187,2,12,1.3979400086720375,0,3,2,2,30,17,1,509,21,95.45,97.4,93.5,48.988849473623375,45.8
com.sap.managementconsole.soap.axis.sapcontrol.STATECOLOR,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,201,10,100.0,100.0,100.0,78.80310393200115,17.0
com.sap.managementconsole.soap.axis.sapcontrol.SetProfileParameter,36,10,1.568201724066995,0,12,1.2787536009528289,0,3,2,2,23,13,1,347,13,93.15,96.5,89.8,64.19952325307851,26.0
com.sap.managementconsole.soap.axis.sapcontrol.StartStopOption,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,217,10,100.0,100.0,100.0,77.87005657290162,17.8
com.sap.managementconsole.soap.axis.sapcontrol.SubProfileParameter,44,10,1.6532125137753435,3,12,1.3222192947339193,0,3,2,2,27,15,1,434,17,94.95,96.9,93.0,59.84772681736087,32.0
com.sap.managementconsole.soap.axis.sapcontrol.SyslogEntry,68,13,1.8388490907372552,2,12,1.4313637641589874,0,3,2,2,36,18,1,633,23,95.8,97.8,93.8,45.10075075367523,51.6
com.sap.managementconsole.soap.axis.sapcontrol.TaskHandlerQueue,34,6,1.5440680443502757,2,12,1.3617278360175928,0,3,2,2,25,16,1,392,19,93.35,96.9,89.8,53.17382785712658,38.8
com.sap.managementconsole.soap.axis.sapcontrol.VISIBLELEVEL,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,201,10,100.0,100.0,100.0,79.7473311645031,16.2
com.sap.managementconsole.soap.axis.sapcontrol.WorkProcess,109,18,2.041392685158225,2,12,1.6127838567197357,0,3,2,2,55,25,1,1004,37,95.55,98.6,92.5,26.793576172247995,86.4
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperation,29,9,1.4771212547196624,2,12,1.230448921378274,0,3,2,2,20,12,1,314,11,91.55,95.9,87.2,69.1985117741187,19.8
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationArguments,26,7,1.4313637641589874,2,12,1.1760912590556811,0,3,2,2,18,12,1,253,11,91.55,95.3,87.8,69.4048728300073,19.6
com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationCode,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,209,10,100.0,100.0,100.0,77.17752815615809,18.4
com.sap.managementconsole.soap.axis.saphostcontrol.CIMAttribute,33,8,1.5314789170422551,2,12,1.230448921378274,0,3,2,2,21,13,1,314,13,93.35,96.1,90.6,65.49716718594972,24.8
com.sap.managementconsole.soap.axis.saphostcontrol.CIMObject,32,11,1.5185139398778875,2,12,1.2787536009528289,0,3,2,2,22,12,1,351,11,94.35,97.8,90.9,71.31490536196722,19.8
com.sap.managementconsole.soap.axis.saphostcontrol.CancelOperationType,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,193,10,100.0,100.0,100.0,79.2738117290701,16.6
com.sap.managementconsole.soap.axis.saphostcontrol.Database,39,12,1.6020599913279625,2,12,1.3222192947339193,0,3,2,2,25,13,1,422,13,93.0,96.8,89.2,65.05758451394894,25.0
com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseComponent,29,9,1.4771212547196624,2,12,1.230448921378274,0,3,2,2,20,12,1,314,11,91.55,95.9,87.2,69.81944298226747,19.2
com.sap.managementconsole.soap.axis.saphostcontrol.DatabaseStatus,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,241,10,100.0,100.0,100.0,81.66986268858123,14.6
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceOptionsFlags,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,225,10,100.0,100.0,100.0,79.7473311645031,16.2
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceSelector,26,7,1.4313637641589874,2,12,1.1760912590556811,0,3,2,2,18,12,1,267,11,91.55,95.3,87.8,69.81944298226747,19.2
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceServiceOperation,26,7,1.4313637641589874,2,12,1.1760912590556811,0,3,2,2,18,12,1,281,11,91.55,95.3,87.8,70.23648945073047,18.8
com.sap.managementconsole.soap.axis.saphostcontrol.InstanceStatus,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,201,10,100.0,100.0,100.0,78.10227756558632,17.6
com.sap.managementconsole.soap.axis.saphostcontrol.OperationCode,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,201,10,100.0,100.0,100.0,79.7473311645031,16.2
com.sap.managementconsole.soap.axis.saphostcontrol.OperationOptions,25,8,1.414973347970818,2,12,1.230448921378274,0,3,2,2,19,12,1,281,11,90.15,95.7,84.6,68.95677953330492,19.0
com.sap.managementconsole.soap.axis.saphostcontrol.OperationResult,29,9,1.4771212547196624,2,12,1.230448921378274,0,3,2,2,20,12,1,300,11,91.55,95.9,87.2,69.4048728300073,19.6
com.sap.managementconsole.soap.axis.saphostcontrol.Property,26,7,1.4313637641589874,2,12,1.1760912590556811,0,3,2,2,18,12,1,253,11,91.55,95.3,87.8,69.61184928764801,19.4
com.sap.managementconsole.soap.axis.saphostcontrol.ResponseMessage,26,7,1.4313637641589874,2,12,1.1760912590556811,0,3,2,2,18,12,1,253,11,91.55,95.3,87.8,69.81944298226747,19.2
com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_ServiceLocator,24,6,1.3979400086720375,0,12,1.3222192947339193,0,0,3,2,24,11,2,318,15,92.7,89.7,95.7,64.07990900433023,25.8
com.sap.managementconsole.soap.axis.saphostcontrol.SAPInstance,40,9,1.6127838567197357,2,12,1.2787536009528289,0,3,2,2,24,14,1,375,15,94.45,96.6,92.3,60.967771386733645,30.4
com.sap.managementconsole.soap.axis.saphostcontrol.ServiceIdentifier,19,6,1.3010299956639813,2,12,1.1139433523068367,0,3,2,2,15,11,1,192,9,88.55,94.3,82.8,72.96759232397766,14.0
com.sap.managementconsole.soap.axis.saphostcontrol.ServiceType,12,1,1.1139433523068367,6,12,1.1139433523068367,0,5,1,1,12,10,1,201,10,100.0,100.0,100.0,80.46291890500615,15.6
com.sap.managementconsole.soap.axis.saphostcontrol.TargetService,26,7,1.4313637641589874,2,12,1.1760912590556811,0,3,2,2,18,12,1,281,11,91.55,95.3,87.8,71.07807059088381,18.0
com.sap.netweaver.porta.core.ServerFactory,5,6,0.7781512503836436,1,12,0.7781512503836436,0,1,0,20,5,1,1,123,1,75.0,64.3,85.7,71.72377453057689,4.0
com.sap.netweaver.porta.core.mock.ApplicationMock,19,1,1.3010299956639813,3,12,1.3617278360175928,2,0,1,3,19,11,1,154,16,100.0,100.0,100.0,69.95439195048273,25.0
com.sap.netweaver.porta.core.mock.CoreModuleMock,11,5,1.0791812460476249,2,12,0.7781512503836436,0,0,0,3,10,1,1,103,1,77.25,85.7,68.8,71.70811013758568,6.0
com.sap.netweaver.porta.core.mock.DeployManagerMock,9,4,1.0,4,16,1.0,0,0,0,4,9,5,2,138,5,27.5,35.0,20.0,25.91006633288492,5.0
com.sap.netweaver.porta.core.mock.LifecycleManagerMock,19,9,1.3010299956639813,7,16,1.0791812460476249,2,0,0,2,18,7,2,161,6,21.0,22.0,20.0,19.49346683351844,6.0
com.sap.netweaver.porta.core.mock.ServerFactory,2,1,0.4771212547196624,1,12,0.3010299956639812,0,1,0,6,2,1,1,26,1,100.0,100.0,100.0,98.52216748768474,2.0
com.sap.netweaver.porta.core.mock.ServerMock,7,2,0.9030899869919436,1,12,0.7781512503836436,0,0,0,2,7,4,1,62,5,100.0,100.0,100.0,94.21842302867243,5.0
com.sap.netweaver.porta.core.nw7.ApplicationImpl,11,1,1.0791812460476249,2,12,1.0413926851582251,0,0,1,3,11,10,1,92,9,100.0,100.0,100.0,64.93588663550878,30.0
com.sap.netweaver.porta.core.nw7.CoreModuleImpl,4,1,0.6989700043360189,3,12,0.7781512503836436,0,0,1,1,4,0,1,51,2,81.95,88.9,75.0,79.54573030163316,3.0
com.sap.netweaver.porta.core.nw7.DMUtilsImpl,18,6,1.2787536009528289,5,12,1.3979400086720375,0,0,0,3,18,10,1,288,10,93.05,92.4,93.7,64.5136684782164,25.6
com.sap.netweaver.porta.core.nw7.DeployManagerImpl,14,5,1.1760912590556811,6,17,1.5440680443502757,0,0,2,3,14,8,2,477,6,20.35,20.0,20.7,16.969877141356285,13.2
com.sap.netweaver.porta.core.nw7.FileUploaderImpl,13,8,1.146128035678238,1,12,1.0791812460476249,0,0,1,5,13,1,1,251,3,48.05,56.1,40.0,45.13734546476493,5.2
com.sap.netweaver.porta.core.nw7.LMUtilsImpl,30,16,1.4913616938342726,2,12,1.230448921378274,0,0,0,3,22,16,1,251,6,62.55,61.5,63.6,44.67810651750192,23.6
com.sap.netweaver.porta.core.nw7.LifecycleManagerImpl,15,5,1.2041199826559248,7,17,1.4771212547196624,0,0,2,3,15,14,2,360,7,21.450000000000006,18.6,24.3,17.310766093087924,15.4
com.sap.netweaver.porta.core.nw7.Operation,15,7,1.2041199826559248,1,12,1.0,2,0,1,3,15,5,1,158,2,17.200000000000006,21.1,13.3,16.795107165292606,2.6
com.sap.netweaver.porta.core.nw7.ServerFactory,2,2,0.4771212547196624,1,12,0.8450980400142568,0,1,0,15,2,4,1,97,1,75.85,85.0,66.7,72.53664397525675,4.0
com.sap.netweaver.porta.core.nw7.ServerImpl,16,3,1.230448921378274,1,12,1.146128035678238,0,0,2,3,16,4,1,181,6,68.4,56.8,80.0,58.588079517881006,11.4
com.sap.netweaver.porta.core.snippets.SnippetFindJ2EEInstance,5,3,0.7781512503836436,1,12,0.9030899869919436,1,2,0,4,5,6,1,97,1,11.8,11.1,12.5,11.6256157635468,2.0
com.sap.netweaver.porta.core.snippets.SnippetGetApplications,5,2,0.7781512503836436,2,12,0.9542425094393248,2,3,0,4,5,5,1,123,1,11.3,8.3,14.3,11.133004926108375,2.0
com.sap.netweaver.porta.core.snippets.SnippetGetHttpAccessPoint,1,0,0.3010299956639812,1,12,0.6020599913279624,0,1,0,8,1,1,1,47,1,87.5,75.0,100.0,86.20689655172414,2.0
com.sap.netweaver.porta.core.snippets.SnippetGetProcessList,3,1,0.6020599913279624,1,12,0.8450980400142568,1,2,0,4,3,4,1,78,1,22.5,20.0,25.0,22.167487684729068,2.0
com.sap.netweaver.porta.core.snippets.SnippetGetSystemName,1,0,0.3010299956639812,1,12,0.6989700043360189,0,1,0,9,1,1,1,57,1,83.35,66.7,100.0,82.11822660098522,2.0
com.sap.netweaver.porta.core.snippets.SnippetJ2EEGetProcessList,3,1,0.6020599913279624,1,12,0.8450980400142568,1,2,0,4,3,4,1,78,1,22.5,20.0,25.0,22.167487684729068,2.0
com.sap.netweaver.porta.core.snippets.SnippetPing,1,0,0.3010299956639812,1,12,0.6020599913279624,0,1,0,9,1,1,1,54,1,83.35,66.7,100.0,82.11822660098522,2.0
com.sap.netweaver.porta.core.snippets.SnippetServerFactory,1,0,0.3010299956639812,1,12,0.7781512503836436,0,1,0,13,1,3,1,72,1,73.1,46.2,100.0,72.01970443349754,2.0
com.sap.netweaver.porta.core.snippets.SnippetShutdownInstance,8,4,0.9542425094393248,2,12,1.0413926851582251,3,4,0,4,8,8,1,138,1,8.7,8.3,9.1,8.571428571428571,2.0
com.sap.netweaver.porta.core.snippets.SnippetShutdownInstanceAuthCallback,12,8,1.1139433523068367,2,12,1.146128035678238,3,4,0,4,12,13,1,258,1,6.05,7.8,4.3,5.960591133004926,2.0
com.sap.netweaver.porta.core.snippets.SnippetStartStopServer,3,3,0.6020599913279624,1,12,0.7781512503836436,0,1,0,27,3,12,1,184,1,14.8,20.5,9.1,14.581280788177342,2.0
com.sap.netweaver.porta.core.snippets.SnippetUseDeployManager,6,2,0.8450980400142568,2,12,1.0,1,1,0,4,6,5,1,150,2,80.75,61.5,100.0,76.08137659565298,5.0
com.sap.netweaver.porta.ide.eclipse.SapNWPlugin,11,1,1.0791812460476249,8,12,1.1760912590556811,1,7,1,3,11,3,2,173,9,75.65,66.7,84.6,59.79232826436107,16.8
com.sap.netweaver.porta.ide.eclipse.axis.proxy.AxisTransportClientProperties,10,5,1.0413926851582251,0,12,1.0413926851582251,0,0,0,4,10,5,2,65,5,77.25,100.0,54.5,72.78373178964945,5.0
com.sap.netweaver.porta.ide.eclipse.server.SapNWRefreshStateJob,5,2,0.7781512503836436,1,12,0.7781512503836436,0,0,1,4,5,1,2,89,1,27.85,35.7,20.0,27.767193776572807,1.2
com.sap.netweaver.porta.ide.eclipse.server.SapNWServer,47,19,1.6812412373755872,4,12,1.6020599913279625,3,0,2,2,43,21,2,495,13,66.3,62.1,70.5,42.29013314588289,31.2
com.sap.netweaver.porta.ide.eclipse.server.control.AuthCallback,7,6,0.9030899869919436,0,12,0.8450980400142568,0,0,1,5,7,4,1,167,2,42.2,36.8,47.6,39.76017451809977,5.0
com.sap.netweaver.porta.ide.eclipse.server.control.ModuleExportOperation,12,6,1.1139433523068367,3,12,1.1139433523068367,0,4,1,3,12,8,2,228,2,43.85,34.4,53.3,38.926132778673285,9.0
com.sap.netweaver.porta.ide.eclipse.server.control.PublishException,5,1,0.7781512503836436,0,48,0.6020599913279624,1,1,1,3,5,4,2,49,2,100.0,100.0,100.0,95.63169937410252,4.0
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWLaunchConfigurationDelegate,2,1,0.4771212547196624,1,12,0.6020599913279624,0,0,0,10,2,0,2,92,1,30.95,28.6,33.3,30.95,1.0
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWLaunchConfigurationTabGroup,1,0,0.3010299956639812,1,12,0.4771212547196624,0,0,0,8,1,0,2,57,1,100.0,100.0,100.0,100.0,1.0
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWLaunchableAdapterDelegate,10,5,1.0413926851582251,0,12,0.8450980400142568,0,0,0,29,7,4,2,171,1,7.1000000000000005,8.3,5.9,6.9950738916256165,2.0
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWPublishOperation,38,14,1.5910646070264989,9,12,1.4313637641589874,8,0,1,3,36,13,2,455,4,51.15,43.8,58.5,43.55242903269421,11.8
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWPublishTask,23,12,1.380211241711606,5,12,1.3424226808222062,5,0,0,3,18,7,2,244,1,8.15,10.3,6.0,7.7939834989893555,4.0
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWServerBehavior,69,26,1.845098040014257,17,12,1.6334684555795864,9,0,0,3,60,23,2,750,10,14.75,18.1,11.4,12.046304746565731,14.6
com.sap.netweaver.porta.ide.eclipse.server.control.SapNWSourcePathComputerDelegate,12,9,1.1139433523068367,2,12,1.3222192947339193,1,0,0,22,12,1,1,276,1,5.9,7.5,4.3,5.9,1.0
com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNWRuntime,12,5,1.1139433523068367,5,12,1.1760912590556811,1,0,0,1,12,8,2,209,6,72.35,74.1,70.6,64.22589980700141,9.0
com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNWRuntimeClasspathProvider,18,6,1.2787536009528289,2,12,1.1139433523068367,1,0,0,9,10,8,2,213,1,14.65,16.6,12.7,14.051824155454176,3.8
